,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,ItemId
77,2018-04-08 08:01:01,7290013144270,1,קרם פטיסייר 100 גרם,מימונס אפיה,ישראל,א.ל ייצור ושיווק תבלינים,גרמים,100.00,100 גרם,0,לא ידוע,9.90,0.0990,1,1,20215
78,2018-04-08 08:03:37,7290015437905,1,ניוקי עגבניה 500ג,לא ידוע,כללי,"ניוקי תפו""א",גרמים,500.00,100 גרם,0,לא ידוע,5.90,0.0118,1,1,25725
79,2018-04-08 08:05:00,7290100701386,1,קמח לחלה מספר 18,"שטיבל בע""מ",ישראל,סוגת,קילוגרמים,1.00,"ק""ג     ",0,לא ידוע,5.90,5.9000,1,1,76
80,2018-04-08 08:05:02,7290100701577,1,קמח לחם מספר 2,"שטיבל בע""מ",ישראל,סוגת,קילוגרמים,1.00,"ק""ג     ",0,לא ידוע,5.90,5.9000,1,1,81
81,2018-04-08 08:12:30,8850632604266,1,מקלות חמוצים טעם קול,סאאדת,תורכיה,יוגטה,יח',24.00,יח',0,לא ידוע,3.90,0.1625,1,1,12326
82,2018-04-16 09:16:31,7290111565182,1,קציצות דלורית אדממה,טבעול ישראל,ישראל,קציצות דלורית אדממה,גרמים,525.00,100 גרם,0,לא ידוע,29.90,0.0570,1,1,36670
83,2018-04-23 10:18:56,7290015156813,1,מחית פרינוק פירות מע,פרוטה פודווין איי.אס,צכיה,רנדי,גרמים,120.00,100 גרם,0,לא ידוע,4.90,0.0408,1,1,36795
84,2018-04-25 07:53:26,7290011064099,1,מעדן פלפל עם גבינה,גבינות ניצן,ישראל,גבינות ניצן,גרמים,125.00,100 גרם,0,לא ידוע,19.90,0.1592,1,1,6147
85,2018-04-29 08:42:47,7290014397163,1,סנו פרש מילוי,סנו,ישראל,סנו פרש מילוי,יח',1.00,יח',0,לא ידוע,11.90,11.9000,1,1,34840
86,2018-05-15 11:43:38,7290017616056,1,שעועית ירוקה שלמה עד,לא ידוע,לא ידוע,שעועית ירוקה שלמה עד,גרמים,600.00,100 גרם,0,לא ידוע,9.90,0.0165,1,1,37155
87,2018-05-23 07:05:29,4770237050432,1,גלידה שוקולד פלומביר,פיאנו זיואיגזדס,לטביה,גלידה שוקולד פלומביר,גרמים,70.00,100 גרם,0,לא ידוע,4.90,0.0700,1,1,37270
88,2018-05-23 08:01:31,7290102398393,1,Muller בטעם תפוח קינ,טרה,ישראל,MULLER,גרמים,170.00,100 גרם,0,לא ידוע,4.90,0.0288,1,1,37240
89,2018-06-07 06:53:51,7290110321505,1,דיאט יופלה קוקוס,תנובה,ישראל,יופלה,גרמים,150.00,100 גרם,0,לא ידוע,4.80,0.0320,1,1,37227
90,2018-06-07 09:56:49,7290108352641,1,מטלית הפלא לניקוי כל,סנו,ישראל,מטלית הפלא לניקוי כל,יח',3.00,יח',0,לא ידוע,14.90,4.9667,1,1,33199
91,2018-06-20 15:32:35,7290014217010,1,T-BUL לדגים   90 גרם,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,90.00,100 גרם,0,לא ידוע,9.90,0.1100,1,1,20636
92,2018-06-26 15:29:56,7290000342832,1,מרכך כביסה בדין צהוב,אתר ליוור - HPC,ישראל,BADIN,ליטרים,4.00,ליטר    ,0,לא ידוע,19.90,4.9750,1,1,16670
93,2018-06-27 14:38:09,7290108351545,1,מבשם יבש סנו פרש הום,סנו,ישראל,מבשם יבש סנו פרש הום,מיליליטרים,200.00,"100 מ""ל",0,לא ידוע,10.90,0.0545,1,1,37854
94,2018-06-27 14:38:11,7290108351538,1,מבשם יבש סנו פרש הום,סנו,ישראל,מבשם יבש סנו פרש הום,מיליליטרים,200.00,"100 מ""ל",0,לא ידוע,10.90,0.0545,1,1,37853
95,2018-07-01 12:24:03,7290105961525,1,שוקולד ספלנדיד 85%,שטראוס גרופ,ישראל,עלית,גרמים,100.00,100 גרם,0,לא ידוע,9.90,0.0990,1,1,13885
